Link,ID,Brand Name,Product Name,Calories,Caffeine Blend,Creatine,Beta-Alanine,L-Theanine,L-Citrulline,L-Tyrosine,Taurine,Betaine,Citrulline Malate,Agmatine Sulfate,Nitrosigine,Theobromine,Huperzine A
https://dsld.od.nih.gov/label/257774,257774,Gaspari Nutrition,SuperPump Aggression Pre-Workout Lights Out Lemon,0,400,0,3200,0,4000,1500,0,2000,0,1500,0,200,0
https://dsld.od.nih.gov/label/260031,260031,God Status Labz,Zeus Godly Gummy,0,400,0,3200,0,0,0,2000,0,6000,0,0,0,0
https://dsld.od.nih.gov/label/260876,260876,V1 Nutra,V1 Pre-Workout Mango Peach Rings,0,225,0,3200,0,8000,0,0,0,0,1000,0,0,0.2
https://dsld.od.nih.gov/label/261330,261330,GHOST,Legend Sonic Ocean Water,5,250,0,3200,0,4000,1000,1000,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/261847,261847,Muscle Feast,MFX PRE Blue Ice Pop Flavor,0,300,0,3200,0,0,1500,1500,2500,0,0,0,0,0
https://dsld.od.nih.gov/label/262932,262932,Muscle Feast,MFX PRE Green Apple Flavor,0,300,0,3200,0,0,1500,1500,2500,0,0,0,0,0
https://dsld.od.nih.gov/label/262933,262933,Muscle Feast,MFX PRE Tangerine Flavor,0,300,0,3200,0,0,1500,1500,2500,0,0,0,0,0
https://dsld.od.nih.gov/label/262934,262934,Muscle Feast,MFX PRE Watermelon Flavor,0,300,0,3200,0,0,1500,1500,2500,0,0,0,0,0
https://dsld.od.nih.gov/label/264924,264924,DAS Labs,Woke Blue Raz,0,333,0,3200,0,0,0,100,0,6000,0,0,300,0.05
https://dsld.od.nih.gov/label/265383,265383,Frontline Formulations,Gauntlet Margarita Twist,0,275,0,3200,300,0,0,0,1000,600,0,700,50,0
https://dsld.od.nih.gov/label/266788,266788,Nutra Innovations,Epitome Preworkout Tahiti Sunrise,0,300,0,3200,0,0,1500,0,2500,0,0,1500,0,0
https://dsld.od.nih.gov/label/268663,268663,Bucked Up,LFG Burn Berry,0,300,0,3200,0,0,0,0,0,0,0,1500,0,0.2
https://dsld.od.nih.gov/label/271108,271108,'Merica Labz,Red White & Boom Napalm Saigon Sangria,0,350,0,3200,0,6000,1000,0,2500,0,0,0,0,0
https://dsld.od.nih.gov/label/282488,282488,Bucked Up,LFG Burn Razzle Dazzle,0,300,0,3200,0,0,0,0,0,0,0,1500,0,0.2
https://dsld.od.nih.gov/label/282489,282489,Bucked Up,LFG Burn Tropical,0,300,0,3200,0,0,0,0,0,0,0,1500,0,0.2
https://dsld.od.nih.gov/label/282495,282495,DAS Labs,Woke AF Preworkout Watermelon Lemonade,0,333,0,3200,0,0,0,100,0,6000,0,0,300,0.05
https://dsld.od.nih.gov/label/287089,287089,Nutra Innovations,Epitome Hardcore Lemonade,0,400,0,3200,0,6000,1500,0,2500,0,0,0,0,0.2
https://dsld.od.nih.gov/label/288568,288568,Glaxon,Specimen Max Alien Pop,0,400,0,3200,0,0,0,0,2500,0,0,0,150,0
https://dsld.od.nih.gov/label/292006,292006,Gaspari Nutrition,SuperPump Aggression Fruit Punch Fury,0,400,0,3200,0,4000,1500,0,2000,0,1500,0,200,2
https://dsld.od.nih.gov/label/292520,292520,GHOST,Legend Bubblicious Strawberry Splash,5,250,0,3200,0,4000,1000,1000,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/292652,292652,Purus Labs,NOXygen Blue Raspberry,10,200,0,3200,0,0,500,0,0,0,0,0,0,10
https://dsld.od.nih.gov/label/292653,292653,Purus Labs,NOXygen Gummy Bear,10,200,0,3200,0,1000,500,0,1000,0,0,0,0,0
https://dsld.od.nih.gov/label/292654,292654,Purus Labs,NOXygen Strawberry Candy,0,67,0,3200,0,0,500,0,0,0,0,0,0,10
https://dsld.od.nih.gov/label/293702,293702,Gaspari Nutrition,SuperPump Aggression Jersey Mobster Italian Ice,0,400,0,3200,0,4000,1500,0,2000,0,1500,0,200,2
https://dsld.od.nih.gov/label/293703,293703,Gaspari Nutrition,SuperPump Aggression Mayhem Mango,0,400,0,3200,0,4000,1500,0,2000,0,1500,0,200,2
https://dsld.od.nih.gov/label/295924,295924,DAS Labs,Woke AF Pina Koala,0,333,0,3200,0,0,0,100,0,6000,0,0,0,0
https://dsld.od.nih.gov/label/297719,297719,Psycho Pharma,Edge of Insanity Black Ice,0,350,0,3200,0,0,0,0,0,8000,0,0,20,0
https://dsld.od.nih.gov/label/297720,297720,Psycho Pharma,Edge of Insanity Jungle Juice,0,350,0,3200,0,0,0,0,0,8000,0,0,20,0
https://dsld.od.nih.gov/label/297731,297731,Clean Victory,Stage One Orange,0,250,0,3200,200,0,0,0,2500,6000,1000,0,0,0
https://dsld.od.nih.gov/label/297970,297970,Core Nutritionals,Beta Alanine,0,0,0,3200,0,0,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/298098,298098,Core Nutritionals,INTRA Lemon Lime,80,0,0,3200,0,0,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/298099,298099,Core Nutritionals,INTRA Pineapple Peach,80,0,0,3200,0,0,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/299229,299229,Ryse,Pre-Workout Baja Burst,10,370,0,3200,0,0,0,0,1500,0,0,0,200,10
https://dsld.od.nih.gov/label/306348,306348,DAS Labs,Woke AF Pre-Workout Buck Berry,5,333,0,3200,0,0,0,100,0,6000,0,0,0,0
https://dsld.od.nih.gov/label/308101,308101,Arms Race Nutrition,Daily Pump 2nd Edition Apple Pie Moonshine,0,0,0,3200,0,5000,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/308103,308103,Arms Race Nutrition,Daily Pump Big Sky 2nd Edition,0,0,0,3200,0,5000,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/308106,308106,Arms Race Nutrition,Daily Pump Bombsicle 2nd Edition,0,0,0,3200,0,5000,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/308107,308107,Arms Race Nutrition,Daily Pump 2nd Edition Key West,0,0,0,3200,0,5000,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/308112,308112,Arms Race Nutrition,Daily Pump Venice Beach 2nd Edition,0,0,0,3200,0,5000,0,0,0,0,0,0,0,0
https://dsld.od.nih.gov/label/308140,308140,Arms Race Nutrition,Harness Evolution Strawberry Lemonade,0,75,0,3200,0,3000,1000,0,1250,0,0,750,0,0
https://dsld.od.nih.gov/label/313041,313041,REVSCI,Violence Pre-Workout Brutal Blood Orange,0,180,0,3200,90,0,0,0,2500,6000,0,0,0,0
https://dsld.od.nih.gov/label/314930,314930,DAS Labs,BAMF Lemonade Flavor,5,333,0,3200,0,0,100,100,0,6000,0,0,0,0.05
https://dsld.od.nih.gov/label/314949,314949,Bucked Up,LFG Burn Lemonade Flavor,10,300,0,3200,0,0,0,0,0,0,0,1500,0,0.2
https://dsld.od.nih.gov/label/315122,315122,GHOST,Legend Sonic Cherry Limeade,10,250,0,3200,0,4000,0,0,0,0,0,1500,100,0
https://dsld.od.nih.gov/label/316258,316258,Merica Labz,Castle Bravo Cereza Limon,0,350,0,3200,0,7000,2000,0,0,0,0,0,100,0
https://dsld.od.nih.gov/label/316259,316259,Merica Labz,F'n Pump'd Cat Scratch Fever,0,0,0,3200,0,0,1000,0,0,8000,0,0,0,0
